Country,Latest year of data,Number of cigarettes
Australia,2022–2023,13.1
Austria,2019,15.4
Belgium,2018,14.8
Canada,2021,13.9
Chile,2020,11.3
Costa Rica,2022,7.2
Czechia,2021,10.9
Denmark,2017,15.1
Estonia,2022,12
Finland,2014,14.1
France,2021,12.7
Germany,2020,15.4
Greece,2019,17
Hungary,2019,12.2
Ireland,2022,13
Israel,2019,15.7
Italy,2021,11
Japan,2019,15.5
Korea,2021,13
Latvia,2020,11.5
Luxembourg,2019,13.4
Mexico,2018,7.1
Netherlands,2021,9.8
New Zealand,2022,9.6
Norway,2022,10.8
Poland,2019,15.2
Slovak Republic,2019,13
Slovenia,2019,11.9
Spain,2020,12
Switzerland,2017,10
Türkiye,2019,17.1
United Kingdom,2019,10
United States,2021,13.5
OECD average†,..,12.7
